192.168.1.113 - - [20/Mar/2013:18:23:20 -0300] "GET /Sistema2/imagens/anterior.PNG HTTP/1.1" 200 763
192.168.1.113 - - [20/Mar/2013:18:23:20 -0300] "GET /Sistema2/imagens/fim.PNG HTTP/1.1" 200 772
192.168.1.113 - - [20/Mar/2013:18:23:20 -0300] "GET /Sistema2/imagens/botaoazul01.PNG HTTP/1.1" 200 1003
192.168.1.113 - - [20/Mar/2013:18:23:20 -0300] "GET /Sistema2/imagens/botaoazul24.PNG HTTP/1.1" 200 1112
192.168.1.113 - - [20/Mar/2013:18:23:20 -0300] "GET /Sistema2/imagens/botaoazul4.PNG HTTP/1.1" 200 1139
192.168.1.113 - - [20/Mar/2013:18:23:20 -0300] "GET /Sistema2/imagens/inicio.PNG HTTP/1.1" 200 785
192.168.1.113 - - [20/Mar/2013:18:23:20 -0300] "GET /Sistema2/imagens/vacina.JPG HTTP/1.1" 200 7396
192.168.1.113 - - [20/Mar/2013:18:23:20 -0300] "GET /Sistema2/imagens/botaoazul3.PNG HTTP/1.1" 200 1133
192.168.1.113 - - [20/Mar/2013:18:23:20 -0300] "GET /Sistema2/imagens/botaoazul46.PNG HTTP/1.1" 200 1598
192.168.1.113 - - [20/Mar/2013:18:23:20 -0300] "GET /Sistema2/imagens/botaoazul7.PNG HTTP/1.1" 200 1164
192.168.1.113 - - [20/Mar/2013:18:23:20 -0300] "GET /Sistema2/imagens/botaoazul10.PNG HTTP/1.1" 200 1138
192.168.1.113 - - [20/Mar/2013:18:23:20 -0300] "GET /Sistema2/imagens/botaoazul5.PNG HTTP/1.1" 200 1155
192.168.1.113 - - [20/Mar/2013:18:23:20 -0300] "GET /Sistema2/imagens/resetsenha.png HTTP/1.1" 200 1152
192.168.1.113 - - [20/Mar/2013:18:23:20 -0300] "GET /Sistema2/imagens/botaobanco51.png HTTP/1.1" 200 31157
192.168.1.113 - - [20/Mar/2013:18:23:20 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 500 3674
192.168.1.113 - - [20/Mar/2013:18:24:18 -0300] "GET /Sistema2/menu1.jsp HTTP/1.1" 200 21609
192.168.1.113 - - [20/Mar/2013:18:24:19 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
192.168.1.113 - - [20/Mar/2013:18:24:49 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 500 3674
192.168.1.113 - - [20/Mar/2013:18:25:30 -0300] "GET /Sistema2/cad_senha.jsp HTTP/1.1" 200 19624
192.168.1.113 - - [20/Mar/2013:18:25:31 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
192.168.1.113 - - [20/Mar/2013:18:25:33 -0300] "GET /Sistema2/menu1.jsp HTTP/1.1" 200 21609
192.168.1.113 - - [20/Mar/2013:18:25:33 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 500 3674
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:25:56 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:25:56 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:01 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:01 -0300] "GET /favicon.ico HTTP/1.1" 404 973
